Topic_ID,Topic_Size,Top_Targets
0,499,"['統一教会(20)', '世界平和統一家庭連合(8)', '日本会議(7)', '自民党(7)', '安倍は統一教会とズブズブ(5)', 'silent hill(5)', '統一教会と創価学会とグルになって(4)', '裁判所も買収して(4)', '検察(4)', '警察も買収しまくり(4)']"
1,312,"['trump(114)', 'catholics(26)', 'i(25)', 'jesus(19)', 'bishops(17)', 'evangelicals(16)', 'donald trump(15)', 'christians(14)', 'you(14)', 'catholic church(14)']"
2,208,"['church(59)', 'women(46)', 'priests(31)', 'i(27)', 'god(19)', 'jesus(19)', 'bishops(11)', 'people(9)', 'priesthood(9)', 'laity(8)']"
3,149,"['church(37)', 'i(13)', 'gay people(8)', 'bishops(7)', 'priests(6)', 'jesus(6)', 'baum(4)', 'you(4)', 'gay men(4)', 'we(4)']"
4,143,"['神父(4)', 'i(4)', '妇人(3)', '法官(3)', '耶稣(3)', 'jesus(3)', 'bluto(3)', '神父禁不住伸手摸修女雪白大腿(2)', '神父脸红急忙收手(2)', '上帝(2)']"
5,138,"['i(27)', 'church(23)', 'jesus(21)', 'catholics(15)', 'god(7)', 'he(6)', 'priests(6)', 'catholic(5)', 'catholic church(5)', 'you(5)']"
6,122,"['church(17)', 'bishops(14)', 'catholic church(13)', 'priests(10)', 'catholics(8)', 'cc(7)', 'bishop(6)', 'pope francis(6)', 'snap(5)', 'pope(5)']"
7,119,"['god(21)', 'jesus(19)', 'i(16)', 'you(13)', 'church(13)', 'moses(6)', 'man(6)', 'prophets(4)', 'they(4)', '宗教(3)']"
8,117,"['you(34)', 'women(11)', 'church(9)', 'catholic church(9)', 'catholics(8)', 'i(8)', 'catholic(7)', 'woman(7)', 'jesus(6)', 'planned parenthood(5)']"
9,103,"['jesus(15)', 'イエス(5)', '孔庆东(3)', 'god(3)', '封建迷信(1)', '耶稣不是孔子的儿子(1)', '耶稣天天跟(1)', '耶稣的孙子被我校长杀了(1)', '耶稣是洪秀全的哥哥而已(1)', '格里菲斯这么坏对应不了耶稣吧(1)']"
10,93,"['jesus(7)', 'church(5)', 'christians(3)', 'you(3)', 'wright(3)', 'i(3)', 'priest(2)', '圣经里自相矛盾的地方你先理顺了再来跟人辩论吧(1)', '保罗(1)', '雅各(1)']"
11,81,"['christians(13)', 'jesus(5)', 'white american male(5)', 'muslims(4)', 'facebook(4)', 'you(4)', 'he(3)', 'christian(3)', 'islam(3)', 'mr. walker(3)']"
12,80,"['church(16)', 'jesus(12)', 'pope francis(7)', 'catholics(5)', 'god(3)', 'priests(3)', 'pharisees(3)', 'people(3)', 'knights(3)', 'you(3)']"
13,75,"['i(14)', 'catholic schools(8)', 'you(5)', 'public schools(5)', 'religion(5)', 'catholic universities(5)', 'people(4)', 'catholic school(3)', 'catholics(3)', 'christians(3)']"
14,66,"['i(11)', 'people(7)', 'you(7)', 'church(4)', 'government(4)', 'christianity(3)', 'christians(3)', 'we(3)', 'christian(2)', 'islamophobia(2)']"
15,65,"['you(11)', 'catholics(8)', 'catholic(7)', 'catholic church(4)', 'church(4)', 'authentic catholics(3)', 'popular opinion(2)', 'luther(2)', 'he(2)', 'i(2)']"
16,61,"['i(14)', 'christians(11)', 'we(9)', 'trudeau(7)', 'homer(7)', 'she(6)', 'harper(6)', 'christian(5)', 'military(5)', 'islam(4)']"
17,60,"['you(17)', 'i(14)', 'zsvw0cavalyy(4)', 'god(3)', 'that person(2)', 'fundamentalist christian(2)', 'christianity(2)', 'author(2)', '栖雲居士(2)', '栖雲居士さんの(2)']"
18,58,"['ncr(16)', 'i(14)', 'church(11)', 'catholics(8)', 'priests(8)', 'you(6)', 'msw(4)', 'catholic(3)', 'politics(3)', '教会战狼(2)']"
19,57,"['jesus(29)', 'god(13)', 'you(10)', 'church(6)', 'we(6)', 'i(6)', 'tax collector(5)', 'pharisee(4)', 'people(3)', 'christianity(3)']"
20,47,"['王睿_sb(2)', 'you(2)', 'liberals(2)', 'women(2)', '神父笑话主要问题是现实中现在还是会发生而且细节过于离谱(1)', '宗教(1)', '修女压抑了好歹是男女(1)', '天主教里传统上修女属于修会(1)', '修女笑话就像妓女笑话因为有部分身不由己者所以嘲笑整体会有种缺德的感觉(1)', '修女有当娼妓的(1)']"
21,45,"['church(4)', 'they(4)', '教会(3)', 'evangelicals(3)', 'adventists(3)', 'all ages(3)', 'young adults(2)', 'united church(2)', 'kids(2)', 'adventist church(2)']"
22,45,"['women(3)', '圣母婊(2)', '唐芥子さん(2)', 'なるみさん(2)', 'リトルぺブル(2)', '圣母会牺牲自己拯救他人(1)', '圣母婊也会牺牲自己拯救他人(1)', '耶稣明明有兄弟(1)', '教会那帮人看不上凡人玛利亚(1)', '神父还要找借口(1)']"
23,42,"['キリスト(3)', 'キリスト教(2)', '基督教与伊斯兰教都是有缺陷的(1)', 'キリスト教とか戦闘ばっかだしな(1)', 'キリスト教が世界最大の宗教(1)', '邪教(1)', 'キリスト教教徒は性悪説と御札のせいで頭が悪いのだろう(1)', 'キリスト教は呪いの宗教だから悪いのだ(1)', 'キリスト教は世の中を悪くする宗教です(1)', '豊臣秀吉は知っていたのかも知れない(1)']"
24,42,"['church(21)', 'pope(5)', 'hierarchy(4)', 'jesus(4)', 'pope francis(4)', 'catholic church(4)', 'catholics(4)', 'curia(3)', 'benedictines(3)', 'roman church(3)']"
25,42,"['you(11)', 'white(4)', 'one(4)', 'haole(3)', 'liberals(3)', 'i(3)', 'white liberals(2)', 'white christians(2)', 'man(2)', 'people(2)']"
26,38,"['我看这神父也是风韵犹存啊(1)', '神父可能上天报告此事的时候成功进步了(1)', '主教(1)', '普奇神父吗(1)', '中世纪钓鱼佬(1)', '普奇神父(1)', '圣公会有个现代派(1)', '神父没少赚黑钱也没少贪教会的钱(1)', '修道院与大树(1)', '卢丹的修女(1)']"
27,36,"['i(18)', 'people(8)', 'gays(8)', 'person(6)', 'baker(5)', 'church(5)', 'supreme court(5)', 'jack philips(4)', 'jesus(4)', 'christians(4)']"
28,35,"['burke(5)', 'cardinals(2)', 'pope francis(2)', 'catholic church(2)', '方济各总算是在把教会往21世纪拽了(1)', '教宗和他自己心里都清楚(1)', '伯克这老小子已经把自己绕进去了(1)', '伯克枢机是传统派(1)', '左派(1)', '伯克跳出来挑战教宗(1)']"
29,32,"['圣经体(1)', '基督(1)', '原基督到底是什么(1)', '耶稣爱你(1)', '基督徒过逾越节吗(1)', '主耶稣(1)', '全宇宙都是基督徒(1)', '达尔文是基督徒(1)', '基督教(1)', '闽南人信奉圣经(1)']"
30,30,"['新教进入我国时把基督教这个名称给抢注了导致的(1)', '国内的基督教会是新教(1)', '国内的基督教这个词被抢注了(1)', '东正也是基督里的啊(1)', '神父是新教独有的(1)', '伊托邦洪波(1)', '国内天主教东正教和基督教(1)', '新教(1)', '正教派并不正统(1)', '新教派并不新(1)']"
31,30,"['ユダヤ国際金融資本が(5)', 'ユダヤ人が中国共産党を作ったから(5)', '全能神教会(3)', 'ユダヤ共産主義のことだから(3)', '世界平和統一家庭連合(1)', 'キリスト教福音宣教会(1)', 'アガドンサン(1)', 'まともな教派のキリスト教会が日本宣教をほぼ諦めたも同然だから(1)', 'キリスト教会漫才2019(1)', 'ユダヤ共産主義のこと(1)']"
32,29,"['church(14)', 'bishops(4)', 'paul(4)', 'christians(4)', 'the pope(4)', 'alms-seekers(4)', 'pope francis(3)', 'people(3)', 'institutions(3)', 'witches(3)']"
33,29,"['they(6)', 'i(3)', 'church(3)', 'senator sullivan(2)', 'government healthcare(2)', 'catholic teaching(2)', 'hco(2)', 'feds(2)', 'god(2)', 'altrightpubs(2)']"
34,29,"['you(3)', 'i(2)', 'conversus(2)', 'church(2)', '姓p的这位(1)', '天主教会早该从政府身上断奶了(1)', '教会搞项目(1)', '教会里很多账和项目我也都义务帮忙弄过(1)', '天主教会跟别的公司一样(1)', '政府的钱想要(1)']"
35,29,"['jesus(12)', 'government(4)', 'poor(3)', 'god(3)', 'he(2)', 'wealthy(2)', 'thief(2)', 'the needy(2)', 'gospels(2)', '耶稣会让你们为了赚钱就赶走穷人病人(1)']"
36,25,"['trads(3)', 'progressives(2)', 'koch(2)', '保守派クリスチャン(2)', '保守派天主教徒(1)', '耶稣才他妈是最大的颠覆分子(1)', '保守派基督徒(1)', 'evangelicals(1)', 'value voters(1)', 'confessional belonging(1)']"
37,25,"['基督教(3)', 'christian(3)', '@misskuhn(2)', '佛教(2)', '天主教(2)', '佛教的逻辑基本是这样的(1)', '佛教真是一种从骨子里就高冷的宗教(1)', '阿弥陀佛(1)', '焘御(1)', '伊斯兰教有升官发财的供奉吗(1)']"
38,25,"['基督犹太伊斯兰回都不是正道势力的(1)', '基督教与伊斯兰教都受犹太教影响(1)', '基督教传教士可喜欢把本土神话结构帮助自己传教了(1)', '印度教的井(1)', '伊斯兰教的井(1)', '基督教或犹太教的井(1)', '基督教是世界公认的宗教(1)', '穆斯林与基督教国家首次联手么(1)', '基督教也没上来就和罗马爆了啊(1)', '基督教和伊斯兰教都脱胎于犹太教(1)']"
39,24,"['基督徒(2)', '創価擁護(2)', '赵神棍又在散播这种老掉牙的谣言了(1)', '那帮人还天天把(1)', '这神棍真让人恶心(1)', '国内的教友们可别被他那套鬼话给忽悠了(1)', 'cohen(1)', 'jesus(1)', 'president(1)', 'obama(1)']"
40,23,"['aa(2)', 'opus dei(2)', '我以前跑销售那会儿就看明白了(1)', '史蒂文牧师真牛逼(1)', '您才是真蒙福了(1)', '耶稣会只是多了个信仰的购买渠道(1)', '基督教就是一种精神传销(1)', '基督教是什一税(1)', '主在催你们了(1)', '上帝(1)']"
41,22,"['catholics(6)', 'catholic(3)', 'i(2)', 'church(2)', 'hierarchs(1)', 'vatican ii church(1)', 'orthodox(1)', 'eastern catholic(1)', 'roman catholic(1)', 'catholic press(1)']"
42,22,"['サタンは初めから嘘つきです(4)', '阿米念异端随光之人显然是随魔之人(1)', 'teenager(1)', 'christian(1)', 'egw(1)', 'adventist(1)', 'エターナルライフミニストリーズという団体って信用出来るのか(1)', 'エクソシスト(1)', 'キリスト教(1)', 'ローマカトリック教会(1)']"
43,22,"['传教士(2)', '科举就是最大的(1)', '道教一大堆传教士(1)', '教师(1)', '律师(1)', '医生这三种人是归神管的(1)', '基督新教有传教士(1)', '天主教有传教士(1)', '东正教有传教士(1)', '汉传佛教有传教士(1)']"
44,21,"['原教旨主义(2)', '教皇在神学和教义上就永远正确了(1)', '方济各这人(1)', '主业会(1)', '圣庇护十世会(1)', '教皇方济各这老哥上台四年(1)', '教会总算要清理门户了(1)', '教宗就拿他们杀鸡儆猴(1)', '教皇方济各天天说要搞什么(1)', '教皇(1)']"
45,20,"['she(5)', 'christian(3)', '白水孙冰(2)', '浮云去了(2)', 'family(2)', 'ellis(2)', 'church(2)', '知青记者(1)', '连鹏(1)', '聂国宏(1)']"
46,20,"['christians(4)', 'she(3)', 'sbg1(2)', 'jews(2)', 'he(2)', 'teenygozer(1)', 'luvmookie(1)', 'devinsenaui(1)', 'chibaicf(1)', 'tommyvaughan(1)']"
