frame_type,verb,count,frame_zh
cognitive_manipulation,洗脑,14,认知操纵/洗脑
cognitive_manipulation,渗透,4,认知操纵/洗脑
cognitive_manipulation,不够,1,认知操纵/洗脑
cognitive_manipulation,以为,1,认知操纵/洗脑
cognitive_manipulation,优越感,1,认知操纵/洗脑
cognitive_manipulation,伟光,1,认知操纵/洗脑
cognitive_manipulation,压迫,1,认知操纵/洗脑
cognitive_manipulation,圈呼,1,认知操纵/洗脑
cognitive_manipulation,天主,1,认知操纵/洗脑
cognitive_manipulation,引导,1,认知操纵/洗脑
cognitive_manipulation,忽悠,1,认知操纵/洗脑
cognitive_manipulation,急需,1,认知操纵/洗脑
cognitive_manipulation,扭曲,1,认知操纵/洗脑
cognitive_manipulation,找到,1,认知操纵/洗脑
cognitive_manipulation,拿来,1,认知操纵/洗脑
cognitive_manipulation,接受,1,认知操纵/洗脑
cognitive_manipulation,支持,1,认知操纵/洗脑
cognitive_manipulation,教书,1,认知操纵/洗脑
cognitive_manipulation,没有,1,认知操纵/洗脑
cognitive_manipulation,流失,1,认知操纵/洗脑
cognitive_manipulation,独身,1,认知操纵/洗脑
cognitive_manipulation,确认,1,认知操纵/洗脑
cognitive_manipulation,警惕,1,认知操纵/洗脑
cognitive_manipulation,需要,1,认知操纵/洗脑
dehumanization,毒瘤,8,非人化/病理化
dehumanization,揭露,2,非人化/病理化
dehumanization,干掉,1,非人化/病理化
dehumanization,引导,1,非人化/病理化
dehumanization,狗咬,1,非人化/病理化
dehumanization,算是,1,非人化/病理化
dehumanization,设立,1,非人化/病理化
dehumanization,进化,1,非人化/病理化
economic_exploitation,敛财,2,经济剥削
economic_exploitation,允许,1,经济剥削
economic_exploitation,关心,1,经济剥削
economic_exploitation,快养,1,经济剥削
economic_exploitation,捐给,1,经济剥削
economic_exploitation,断奶,1,经济剥削
economic_exploitation,明明白白,1,经济剥削
economic_exploitation,清理,1,经济剥削
economic_exploitation,苦撑,1,经济剥削
economic_exploitation,解构,1,经济剥削
economic_exploitation,运转,1,经济剥削
economic_exploitation,飙戏,1,经济剥削
institutional_rot,官官相护,14,制度性腐败
institutional_rot,包庇,11,制度性腐败
institutional_rot,结婚,2,制度性腐败
institutional_rot,乌烟瘴气,1,制度性腐败
institutional_rot,代行,1,制度性腐败
institutional_rot,切割,1,制度性腐败
institutional_rot,劝退,1,制度性腐败
institutional_rot,当上,1,制度性腐败
institutional_rot,徒高一等,1,制度性腐败
institutional_rot,性侵,1,制度性腐败
institutional_rot,找来,1,制度性腐败
institutional_rot,拉胯,1,制度性腐败
institutional_rot,揭露,1,制度性腐败
institutional_rot,有着,1,制度性腐败
institutional_rot,服务人,1,制度性腐败
institutional_rot,没有,1,制度性腐败
institutional_rot,清理,1,制度性腐败
institutional_rot,烂透,1,制度性腐败
institutional_rot,犯下,1,制度性腐败
institutional_rot,相较于,1,制度性腐败
institutional_rot,看看,1,制度性腐败
institutional_rot,腐败,1,制度性腐败
institutional_rot,虐待,1,制度性腐败
institutional_rot,该当,1,制度性腐败
institutional_rot,说穿,1,制度性腐败
institutional_rot,调到,1,制度性腐败
institutional_rot,追责,1,制度性腐败
institutional_rot,金贵,1,制度性腐败
institutional_rot,阴暗,1,制度性腐败
moral_accusation,堕落,5,道德指控/伪善
moral_accusation,宣布,3,道德指控/伪善
moral_accusation,不知,2,道德指控/伪善
moral_accusation,假装,2,道德指控/伪善
moral_accusation,压迫,2,道德指控/伪善
moral_accusation,没有,2,道德指控/伪善
moral_accusation,牺牲,2,道德指控/伪善
moral_accusation,...,1,道德指控/伪善
moral_accusation,万恶之源,1,道德指控/伪善
moral_accusation,不当,1,道德指控/伪善
moral_accusation,修女,1,道德指控/伪善
moral_accusation,倒好,1,道德指控/伪善
moral_accusation,利他主义者,1,道德指控/伪善
moral_accusation,动动,1,道德指控/伪善
moral_accusation,助长,1,道德指控/伪善
moral_accusation,占着茅坑不拉屎,1,道德指控/伪善
moral_accusation,合一,1,道德指控/伪善
moral_accusation,弄死,1,道德指控/伪善
moral_accusation,当成,1,道德指控/伪善
moral_accusation,待人接物,1,道德指控/伪善
moral_accusation,扭曲,1,道德指控/伪善
moral_accusation,折磨,1,道德指控/伪善
moral_accusation,拜耶,1,道德指控/伪善
moral_accusation,拯救,1,道德指控/伪善
moral_accusation,指望,1,道德指控/伪善
moral_accusation,捆绑,1,道德指控/伪善
moral_accusation,操蛋,1,道德指控/伪善
moral_accusation,改革,1,道德指控/伪善
moral_accusation,森严,1,道德指控/伪善
moral_accusation,正确,1,道德指控/伪善
moral_accusation,法利赛人,1,道德指控/伪善
moral_accusation,洗出,1,道德指控/伪善
moral_accusation,活出,1,道德指控/伪善
moral_accusation,烂透,1,道德指控/伪善
moral_accusation,独身,1,道德指控/伪善
moral_accusation,看重,1,道德指控/伪善
moral_accusation,碰到,1,道德指控/伪善
moral_accusation,结婚,1,道德指控/伪善
moral_accusation,腐败,1,道德指控/伪善
moral_accusation,自诩,1,道德指控/伪善
moral_accusation,至上,1,道德指控/伪善
moral_accusation,虐待,1,道德指控/伪善
moral_accusation,谢谢,1,道德指控/伪善
moral_accusation,走掉,1,道德指控/伪善
moral_accusation,越过,1,道德指控/伪善
moral_accusation,转转,1,道德指控/伪善
moral_accusation,迫害,1,道德指控/伪善
moral_accusation,逆天而行,1,道德指控/伪善
moral_accusation,配叫,1,道德指控/伪善
moral_accusation,错失,1,道德指控/伪善
moral_accusation,麻木不仁,1,道德指控/伪善
moral_accusation,黑假,1,道德指控/伪善
political_interference,伴随,1,政治干预
political_interference,信教,1,政治干预
political_interference,承受,1,政治干预
political_interference,教会,1,政治干预
political_interference,正视,1,政治干预
political_interference,比不上,1,政治干预
political_interference,渗透,1,政治干预
political_interference,金主,1,政治干预
rhetorical_attack,不如,5,修辞攻击/讽刺批判
rhetorical_attack,一样,2,修辞攻击/讽刺批判
rhetorical_attack,任命,2,修辞攻击/讽刺批判
rhetorical_attack,毒瘤,2,修辞攻击/讽刺批判
rhetorical_attack,没有,2,修辞攻击/讽刺批判
rhetorical_attack,降生,2,修辞攻击/讽刺批判
rhetorical_attack,需要,2,修辞攻击/讽刺批判
rhetorical_attack,...,1,修辞攻击/讽刺批判
rhetorical_attack,不行,1,修辞攻击/讽刺批判
rhetorical_attack,与时俱进,1,修辞攻击/讽刺批判
rhetorical_attack,丑闻,1,修辞攻击/讽刺批判
rhetorical_attack,严厉,1,修辞攻击/讽刺批判
rhetorical_attack,主持,1,修辞攻击/讽刺批判
rhetorical_attack,代表,1,修辞攻击/讽刺批判
rhetorical_attack,传播,1,修辞攻击/讽刺批判
rhetorical_attack,传教,1,修辞攻击/讽刺批判
rhetorical_attack,信耶,1,修辞攻击/讽刺批判
rhetorical_attack,倒好,1,修辞攻击/讽刺批判
rhetorical_attack,准备,1,修辞攻击/讽刺批判
rhetorical_attack,出来,1,修辞攻击/讽刺批判
rhetorical_attack,分裂,1,修辞攻击/讽刺批判
rhetorical_attack,刺痛,1,修辞攻击/讽刺批判
rhetorical_attack,动手,1,修辞攻击/讽刺批判
rhetorical_attack,包括,1,修辞攻击/讽刺批判
rhetorical_attack,反对,1,修辞攻击/讽刺批判
rhetorical_attack,叫做,1,修辞攻击/讽刺批判
rhetorical_attack,合着,1,修辞攻击/讽刺批判
rhetorical_attack,听腻,1,修辞攻击/讽刺批判
rhetorical_attack,喜欢,1,修辞攻击/讽刺批判
rhetorical_attack,四分五裂,1,修辞攻击/讽刺批判
rhetorical_attack,处理,1,修辞攻击/讽刺批判
rhetorical_attack,够萌,1,修辞攻击/讽刺批判
rhetorical_attack,大佬,1,修辞攻击/讽刺批判
rhetorical_attack,建立,1,修辞攻击/讽刺批判
rhetorical_attack,强奸,1,修辞攻击/讽刺批判
rhetorical_attack,当上,1,修辞攻击/讽刺批判
rhetorical_attack,当成,1,修辞攻击/讽刺批判
rhetorical_attack,惩罚,1,修辞攻击/讽刺批判
rhetorical_attack,感性,1,修辞攻击/讽刺批判
rhetorical_attack,慈爱,1,修辞攻击/讽刺批判
rhetorical_attack,扭曲,1,修辞攻击/讽刺批判
rhetorical_attack,批准,1,修辞攻击/讽刺批判
rhetorical_attack,承认,1,修辞攻击/讽刺批判
rhetorical_attack,抢注,1,修辞攻击/讽刺批判
rhetorical_attack,报告,1,修辞攻击/讽刺批判
rhetorical_attack,抹黑,1,修辞攻击/讽刺批判
rhetorical_attack,招收,1,修辞攻击/讽刺批判
rhetorical_attack,指望,1,修辞攻击/讽刺批判
rhetorical_attack,挨着,1,修辞攻击/讽刺批判
rhetorical_attack,捍卫,1,修辞攻击/讽刺批判
rhetorical_attack,搞定,1,修辞攻击/讽刺批判
rhetorical_attack,搞清,1,修辞攻击/讽刺批判
rhetorical_attack,攒够,1,修辞攻击/讽刺批判
rhetorical_attack,改改,1,修辞攻击/讽刺批判
rhetorical_attack,攻击,1,修辞攻击/讽刺批判
rhetorical_attack,散播,1,修辞攻击/讽刺批判
rhetorical_attack,无权,1,修辞攻击/讽刺批判
rhetorical_attack,明显,1,修辞攻击/讽刺批判
rhetorical_attack,服务,1,修辞攻击/讽刺批判
rhetorical_attack,核心,1,修辞攻击/讽刺批判
rhetorical_attack,欢迎,1,修辞攻击/讽刺批判
rhetorical_attack,流行,1,修辞攻击/讽刺批判
rhetorical_attack,清楚,1,修辞攻击/讽刺批判
rhetorical_attack,照照,1,修辞攻击/讽刺批判
rhetorical_attack,犹存,1,修辞攻击/讽刺批判
rhetorical_attack,献给,1,修辞攻击/讽刺批判
rhetorical_attack,留下,1,修辞攻击/讽刺批判
rhetorical_attack,疯狂,1,修辞攻击/讽刺批判
rhetorical_attack,知行合一,1,修辞攻击/讽刺批判
rhetorical_attack,短缺,1,修辞攻击/讽刺批判
rhetorical_attack,碰瓷,1,修辞攻击/讽刺批判
rhetorical_attack,磨蹭,1,修辞攻击/讽刺批判
rhetorical_attack,神圣,1,修辞攻击/讽刺批判
rhetorical_attack,禁止,1,修辞攻击/讽刺批判
rhetorical_attack,离开,1,修辞攻击/讽刺批判
rhetorical_attack,等于,1,修辞攻击/讽刺批判
rhetorical_attack,等到,1,修辞攻击/讽刺批判
rhetorical_attack,自封,1,修辞攻击/讽刺批判
rhetorical_attack,自知之明,1,修辞攻击/讽刺批判
rhetorical_attack,虚构,1,修辞攻击/讽刺批判
rhetorical_attack,蛐蛐,1,修辞攻击/讽刺批判
rhetorical_attack,衡量,1,修辞攻击/讽刺批判
rhetorical_attack,要求,1,修辞攻击/讽刺批判
rhetorical_attack,见见,1,修辞攻击/讽刺批判
rhetorical_attack,讽刺,1,修辞攻击/讽刺批判
rhetorical_attack,设高,1,修辞攻击/讽刺批判
rhetorical_attack,说辞,1,修辞攻击/讽刺批判
rhetorical_attack,调侃,1,修辞攻击/讽刺批判
rhetorical_attack,超度,1,修辞攻击/讽刺批判
rhetorical_attack,迈一步,1,修辞攻击/讽刺批判
rhetorical_attack,还有,1,修辞攻击/讽刺批判
rhetorical_attack,这样,1,修辞攻击/讽刺批判
rhetorical_attack,逮着,1,修辞攻击/讽刺批判
rhetorical_attack,遵守,1,修辞攻击/讽刺批判
rhetorical_attack,配算,1,修辞攻击/讽刺批判
rhetorical_attack,门可罗雀,1,修辞攻击/讽刺批判
rhetorical_attack,面向,1,修辞攻击/讽刺批判
rhetorical_attack,顽固,1,修辞攻击/讽刺批判
sexual_abuse_frame,性侵,27,性侵虐待/掩盖
sexual_abuse_frame,丑闻,21,性侵虐待/掩盖
sexual_abuse_frame,猥亵,11,性侵虐待/掩盖
sexual_abuse_frame,包庇,7,性侵虐待/掩盖
sexual_abuse_frame,强奸,7,性侵虐待/掩盖
sexual_abuse_frame,虐待,5,性侵虐待/掩盖
sexual_abuse_frame,保护,2,性侵虐待/掩盖
sexual_abuse_frame,修女,2,性侵虐待/掩盖
sexual_abuse_frame,封口,2,性侵虐待/掩盖
sexual_abuse_frame,掩盖,2,性侵虐待/掩盖
sexual_abuse_frame,搭上,2,性侵虐待/掩盖
sexual_abuse_frame,以为,1,性侵虐待/掩盖
sexual_abuse_frame,侵犯,1,性侵虐待/掩盖
sexual_abuse_frame,关心,1,性侵虐待/掩盖
sexual_abuse_frame,利用,1,性侵虐待/掩盖
sexual_abuse_frame,叫爽,1,性侵虐待/掩盖
sexual_abuse_frame,吹哨,1,性侵虐待/掩盖
sexual_abuse_frame,开遍,1,性侵虐待/掩盖
sexual_abuse_frame,当上,1,性侵虐待/掩盖
sexual_abuse_frame,得到,1,性侵虐待/掩盖
sexual_abuse_frame,打开,1,性侵虐待/掩盖
sexual_abuse_frame,打桩,1,性侵虐待/掩盖
sexual_abuse_frame,执行,1,性侵虐待/掩盖
sexual_abuse_frame,接触,1,性侵虐待/掩盖
sexual_abuse_frame,揭露,1,性侵虐待/掩盖
sexual_abuse_frame,搭乘,1,性侵虐待/掩盖
sexual_abuse_frame,烂透,1,性侵虐待/掩盖
sexual_abuse_frame,狡皇,1,性侵虐待/掩盖
sexual_abuse_frame,看罢,1,性侵虐待/掩盖
sexual_abuse_frame,红衣主教,1,性侵虐待/掩盖
sexual_abuse_frame,要求,1,性侵虐待/掩盖
sexual_abuse_frame,负责,1,性侵虐待/掩盖
sexual_abuse_frame,躲进,1,性侵虐待/掩盖
sexual_abuse_frame,迟钝,1,性侵虐待/掩盖
sexual_abuse_frame,追究,1,性侵虐待/掩盖
sexual_abuse_frame,追责,1,性侵虐待/掩盖
sexual_abuse_frame,隐瞒,1,性侵虐待/掩盖
social_exclusion,一样,2,社会排斥/逐出
social_exclusion,取缔,1,社会排斥/逐出
social_exclusion,指责,1,社会排斥/逐出
social_exclusion,排挤,1,社会排斥/逐出
social_exclusion,搞基,1,社会排斥/逐出
social_exclusion,支持,1,社会排斥/逐出
social_exclusion,看看,1,社会排斥/逐出
social_exclusion,看见,1,社会排斥/逐出
social_exclusion,离开,1,社会排斥/逐出
social_exclusion,认同性,1,社会排斥/逐出
social_exclusion,跑光,1,社会排斥/逐出
social_exclusion,踢出,1,社会排斥/逐出
social_exclusion,过来,1,社会排斥/逐出
